dataset,classifier,ifc,time1,time2,rmse
splice,smoreg,nonifc,28.1,0.03,0.3388
vehicle,ibk,ifc,0.27,0.86,0.5146
vehicle,ibk,nonifc,0.02,0.11,0.5065
vehicle,linreg,ifc,0.3,0.86,0.4055
vehicle,linreg,nonifc,0.08,0.02,0.3641
vehicle,logreg,ifc,0.23,0.73,0.4063
vehicle,logreg,nonifc,0.05,0.02,0.3544
vehicle,m5p,ifc,0.56,0.7,0.4097
vehicle,m5p,nonifc,0.27,0.02,0.3571
vehicle,mlp,ifc,3.43,0.75,0.4619
vehicle,mlp,nonifc,2.84,0.02,0.4189
vehicle,smoreg,ifc,1.7,0.84,0.5052
vehicle,smoreg,nonifc,1.01,0.02,0.5043
vote,ibk,ifc,0.05,0.36,0.2421
vote,ibk,nonifc,0,0.05,0.2421
vote,linreg,ifc,0.09,0.3,0.1868
vote,linreg,nonifc,0.06,0.02,0.1912
vote,logreg,ifc,0.08,0.3,0.176
vote,logreg,nonifc,0.05,0.02,0.176
vote,m5p,ifc,0.16,0.27,0.1967
vote,m5p,nonifc,0.14,0.02,0.2027
vote,mlp,ifc,1.23,0.3,0.2359
vote,mlp,nonifc,1.12,0.02,0.2365
vote,smoreg,ifc,1.37,0.33,0.2087
vote,smoreg,nonifc,1.44,0.02,0.2087
vowel,ibk,ifc,0.2,0.55,0.3706
vowel,ibk,nonifc,0.02,0.17,0.055
vowel,linreg,ifc,0.23,0.44,0.2821
vowel,linreg,nonifc,0.08,0.02,0.2859
vowel,logreg,ifc,0.22,0.48,0.2949
vowel,logreg,nonifc,0.05,0.02,0.286
vowel,m5p,ifc,0.36,0.42,0.2935
vowel,m5p,nonifc,0.19,0.02,0.2074
vowel,mlp,ifc,2.06,0.44,0.2978
vowel,mlp,nonifc,1.55,0.02,0.2513
vowel,smoreg,ifc,5.13,0.38,0.3013
vowel,smoreg,nonifc,3.76,0.02,0.3013
waveform,ibk,ifc,0.23,1.78,0.5821
waveform,ibk,nonifc,0.02,0.11,0.404
waveform,linreg,ifc,0.33,1.81,0.4471
waveform,linreg,nonifc,0.09,0.03,0.3589
waveform,logreg,ifc,0.27,1.61,0.5341
waveform,logreg,nonifc,0.06,0.02,0.3172
waveform,m5p,ifc,0.44,1.65,0.4471
waveform,m5p,nonifc,0.19,0.02,0.3241
waveform,mlp,ifc,6.83,1.28,0.5185
waveform,mlp,nonifc,6.41,0.03,0.4301
waveform,smoreg,ifc,0.58,1.58,0.453
waveform,smoreg,nonifc,0.33,0.03,0.3864
zoo,ibk,ifc,0.09,0.09,0
zoo,ibk,nonifc,0.02,0.02,0
zoo,linreg,ifc,0.13,0.09,0.2463
zoo,linreg,nonifc,0.08,0,0.5164
zoo,logreg,ifc,0.09,0.13,0.0005
zoo,logreg,nonifc,0.11,0,0.0057
zoo,m5p,ifc,0.22,0.11,0.4902
zoo,m5p,nonifc,0.09,0,0.7578
zoo,mlp,ifc,0.39,0.11,0.1647
zoo,mlp,nonifc,9.78,0.03,0.0354
zoo,smoreg,ifc,0.17,0.09,0.2448
zoo,smoreg,nonifc,0.08,0.02,0.0699
,,,,,
